Période;Valeur;Code;Type;Sous-type;Base;Population;Zone concernée;Code COICOP;Désignation COICOP;Série arrêtée;Référence INSEE
2022-05-01;120.38;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;12.7.0.4;Autres frais et services n.c.a.;Non;1763833
2022-05-01;118.17;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;;Alimentation y compris tabac;Non;1763848
2022-05-01;103.51;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;;Produits manufacturés hors habillement, biens durables et produits de santé;Non;1763860
2022-05-01;106.46;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;01.2.2;Eaux minérales, boissons rafraîchissantes, jus de fruits et de légumes;Non;1763937
2022-05-01;115.0;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;03.1.4;Nettoyage, réparation et location d'articles d'habillement;Non;1763969
2022-05-01;111.2;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;05.6.2;Services domestiques et services ménagers;Non;1764065
2022-05-01;100.64;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;06.1.3.9;Autres appareils et matériels thérapeutiques;Non;1764079
2022-05-01;108.98;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;06.2.1;Services médicaux;Non;1764081
2022-05-01;98.61;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;07.3.5.0;Transport combiné de passagers;Non;1764129
2022-05-01;76.52;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;09.1.1.2;Appareils d'enregistrement et de reproduction du son et de l'image;Non;1764151
2022-05-01;110.33;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;09.1.5;Réparation de matériels audiovisuel, photographique et informatique;Non;1764165
2022-05-01;114.99;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;09.2.1.3;Bateaux, moteurs hors bord et équipements de bateaux;Non;1764170
2022-05-01;105.56;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;09.3.2.1;Équipement de sport;Non;1764182
2022-05-01;104.65;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;09.5.1;Livres;Non;1764207
2022-05-01;101.15;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;12.1.3.1;Articles de soins corporels non électriques;Non;1764251
2022-05-01;113.73;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;12.7.0.3;Services funéraires;Non;1764281
2022-05-01;110.65;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;;Alimentation : Autres produits alimentaires;Non;1764289
2022-05-01;109.66;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;;Services;Non;1764296
2022-05-01;102.15;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;;Services de santé;Non;1764298
2022-05-01;5.4;A;Indice des prix à la consommation;Glissement annuel;Base 2015;Ensemble des ménages;France;;Ensemble non alimentaire;Non;1768582
2022-05-01;0.5;A;Indice des prix à la consommation;Variations mensuelles;Base 2015;Ensemble des ménages;France;;Services : Loyers, eau et enlèvement des ordures ménagères;Non;1768631
2022-05-01;0.7;A;Indice des prix à la consommation;Variations mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;;Ensemble;Non;1768652
2022-05-01;0.8;A;Indice des prix à la consommation;Variations mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;;Autres services;Non;1768666
2022-05-01;0.9;A;Indice des prix à la consommation;Variations mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;;Produits manufacturés y compris énergie;Non;1768668
2022-05-01;112.68;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;Guadeloupe;;Alimentation;Non;1769693
2022-05-01;103.32;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;Guadeloupe;;Produits manufacturés;Non;1769696
2022-05-01;102.95;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;Guadeloupe;;Produits manufacturés : Habillement et Chaussures;Non;1769697
2022-05-01;86.48;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;Martinique;;Produits manufacturés : Produits de santé;Non;1769722
2022-05-01;141.31;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;Martinique;;Énergie;Non;1769724
2022-05-01;85.36;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;Guyane;;Produits manufacturés : Produits de santé;Non;1769746
2022-05-01;134.83;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;Guyane;;Énergie : Produits pétroliers;Non;1769749
2022-05-01;101.09;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;La réunion;;Produits manufacturés : Habillement et Chaussures;Non;1769769
2022-05-01;27.8;A;Indice des prix à la consommation;Glissement annuel;Base 2015;Ensemble des ménages;France;;Énergie;Non;1761330
2022-05-01;148.11;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;;Énergie;Non;1759967
2022-06-01;111.1;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ménages urbains dont le chef est ouvrier ou employé;France;12.6;Services financiers n.c.a.;Non;1763413
2022-06-01;107.71;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;01.1.4.6;Autres produits laitiers;Non;1763450
2022-06-01;104.15;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;03.2.1.3;Chaussures pour nourrissons et enfants;Non;1763526
2022-06-01;116.26;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;04.3.2;Services concernant l'entretien et les réparations du logement;Non;1763536
2022-06-01;107.59;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;04.4.3.0;Reprise des eaux usées;Non;1763549
2022-06-01;101.07;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;05.5.2.2;Divers accessoires de petit outillage;Non;1763611
2022-06-01;91.57;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;08.3.0.3;Service d'accès à internet;Non;1763696
2022-06-01;109.59;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;09.2.1;Biens durables pour loisirs de plein air;Non;1763719
2022-06-01;105.0;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;09.3.2.1;Équipement de sport;Non;1763733
2022-06-01;113.42;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;09.3.2.3;Réparation d'équipement de sport, de camping et de loisirs de plein air;Non;1763735
2022-06-01;107.52;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;09.3.4;Animaux de compagnie et articles connexes;Non;1763739
2022-06-01;115.43;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;10.2.0;Enseignement secondaire;Non;1763776
2022-06-01;111.8;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;12.5;Assurance;Non;1763818
2022-06-01;118.98;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;;Alimentation y compris tabac;Non;1763848
2022-06-01;134.48;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;01.1.7.1;Légumes frais, hors pommes de terre et autres tubercules;Non;1763913
2022-06-01;116.86;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;04.3.2.4;Services de peintres;Non;1763990
2022-06-01;118.02;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;04.5.4;Combustibles solides;Non;1764010
2022-06-01;90.28;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;05.3.2.1;Appareils de transformation d'aliments;Non;1764042
2022-06-01;114.23;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;05.6.2.2;Nettoyage d'articles textiles hors vêtement;Non;1764067
2022-06-01;127.37;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;07.3.2;Transport routier de passagers;Non;1764119
2022-06-01;101.27;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;08.3.0.1;Service de téléphonie fixe;Non;1764143
2022-06-01;109.63;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;09.3.1.2;Jouets et articles de fête;Non;1764180
2022-06-01;117.53;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;09.3.4.1;Achat d'animaux domestiques;Non;1764189
2022-06-01;107.71;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;09.5.1.1;Ouvrages de littérature générale;Non;1764208
2022-06-01;155.82;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;09.6;Forfaits touristiques;Non;1764220
2022-06-01;107.44;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;12.1.1.3;Soins de beauté corporels;Non;1764247
2022-06-01;112.62;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;12.5.2.0;Assurance habitation;Non;1764269
2022-06-01;107.0;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;12.7.0;Autres services n.c.a.;Non;1764278
2022-06-01;3.5;A;Indice des prix à la consommation;Glissement annuel;Base 2015;Ensemble des ménages;France;;Ensemble hors énergie;Non;1768579
2022-06-01;0.8;A;Indice des prix à la consommation;Variations mensuelles;Base 2015;Ensemble des ménages;France;;Alimentation;Non;1768621
2022-06-01;0.8;A;Indice des prix à la consommation;Variations mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;;Alimentation;Non;1768654
2022-06-01;145.97;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;Guadeloupe;;Énergie : Produits pétroliers;Non;1769702
2022-06-01;103.34;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;Guyane;;Autres produits manufacturés;Non;1769747
2022-07-01;116.17;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ménages urbains dont le chef est ouvrier ou employé;France;01;Produits alimentaires et boissons non alcoolisées;Non;1763363
2022-07-01;106.51;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ménages urbains dont le chef est ouvrier ou employé;France;05;Meubles, articles de ménage et entretien courant du foyer;Non;1763377
2022-07-01;111.6;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;01.1.1.8;Autres produits à base de céréales n.c.a.;Non;1763427
2022-07-01;100.52;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;01.1.8.4;Produits de confiserie (hors chocolat);Non;1763473
2022-07-01;107.45;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;02.1.3.1;Bières à basse fermentation;Non;1763501
2022-07-01;117.07;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;03.1.4.1;Nettoyage d'articles d'habillement;Non;1763520
2022-07-01;102.62;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;04.1.1;Loyers effectivement payés par les locataires;Non;1763531
2022-07-01;107.69;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;04.4.3;Reprise des eaux usées;Non;1763548
2022-07-01;114.78;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;05.4.0.2;Articles de coutellerie, couverts et argenterie;Non;1763603
2022-07-01;89.5;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;09.1.4.1;Supports enregistrés;Non;1763713
2022-07-01;130.81;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;09.5.2;Journaux et publications périodiques;Non;1763763
2022-07-01;117.08;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;12.3.1.;Articles de bijouterie et horlogerie;Non;1763805
2022-07-01;114.62;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;12.4.0;Protection sociale;Non;1763814
2022-07-01;112.96;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;12.5.4.1;Assurance véhicule à moteur;Non;1763824
2022-07-01;104.21;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;;Autres produits manufacturés;Non;1763840
2022-07-01;104.73;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;;Services : Loyers, eau et enlèvement des ordures ménagères;Non;1763844
2022-07-01;105.28;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;01.1.8.5;Crèmes glacées et sorbets;Non;1763924
2022-07-01;107.09;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;02.1.3;Bières;Non;1763950
2022-07-01;92.67;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;03.2.1.2;Chaussures pour femmes;Non;1763975
